fecha	producto_id	cantidad	precio_unitario
2026-01-03	84	2	1.59
2026-01-03	166	1	2.45
2026-01-03	102	0.36	1.75
2026-01-03	23	1	1.25
2026-01-03	44	3.577	1.75
2026-01-03	193	1	2.5
2026-01-03	208	4	0.95
2026-01-03	227	1	1.69
2026-01-03	9	4	0.85
2026-01-03	58	1.137	2.49
2026-01-03	190	1	3.15
2026-01-03	44	3.131	1.75
2026-01-03	85	1	1.49
2026-01-03	12	2.524	2.25
2026-01-03	103	1.826	2.19
2026-01-03	226	1	1.35
2026-01-03	73	3	1.49
2026-01-03	187	2.228	5.45
2026-01-03	167	1	1.59
2026-01-03	54	1	2.59
2026-01-03	190	2	3.15
2026-01-03	72	3	0.95
2026-01-03	38	0.598	1.89
2026-01-03	66	1	1.59
2026-01-03	196	1	3.15
2026-01-03	209	1	1.19
2026-01-03	91	12.783	0.69
2026-01-03	101	2.22	3
2026-01-03	124	3.897	1.55
2026-01-03	101	0.723	3
2026-01-03	93	2	3
2026-01-03	197	2.089	2.25
2026-01-03	18	7.03	1.35
2026-01-03	68	1	1.99
2026-01-03	87	3	1.39
2026-01-03	211	1	1.15
2026-01-03	197	2.249	2.25
2026-01-03	38	7.931	1.89
2026-01-03	93	1	3
2026-01-03	125	2	2.35
2026-01-03	52	8.879	0.99
2026-01-03	209	1	1.19
2026-01-03	94	1.249	2.85
2026-01-03	31	0.643	5.69
2026-01-03	8	1	2.25
2026-01-03	250	0.397	2.39
2026-01-03	97	0.343	1.75
2026-01-03	189	1	3.15
2026-01-03	89	4.797	0.79
2026-01-03	158	1	2.29
2026-01-03	91	17.058	0.69
2026-01-03	146	0.389	14.39
2026-01-03	106	4.372	1.99
2026-01-03	41	2.297	1.85
2026-01-03	83	3.69	2.39
2026-01-03	124	1.387	1.55
2026-01-03	224	2	0.99
2026-01-03	47	0.41	3
2026-01-03	146	0.546	14.39
2026-01-03	93	1	3
2026-01-03	43	3.067	1.79
2026-01-03	195	2	2.25
2026-01-03	140	0.632	12.95
2026-01-03	142	0.496	6.95
2026-01-03	130	2	1.89
2026-01-03	139	0.155	14.95
2026-01-03	125	3	2.35
2026-01-03	77	1	2.35
2026-01-03	28	1	2.85
2026-01-03	137	0.224	18.75
2026-01-03	199	4.119	2.19
2026-01-03	121	7.24	1.29
2026-01-03	59	0.13	4
2026-01-03	195	2	2.25
2026-01-03	69	2	1.25
2026-01-03	124	1.774	1.55
2026-01-03	99	0.997	2.99
2026-01-03	146	0.361	14.39
2026-01-03	187	0.862	5.45
2026-01-03	121	4.171	1.29
2026-01-03	28	2	2.85
2026-01-03	193	5	2.5
2026-01-03	27	1	2.59
2026-01-03	155	4	0.85
2026-01-03	94	2.33	2.85
2026-01-03	11	0.686	3.95
2026-01-03	95	1.197	2.39
2026-01-03	136	0.184	12.95
2026-01-03	207	1	1.29
2026-01-03	139	0.217	14.95
2026-01-03	61	1	1.89
2026-01-03	52	1.889	0.99
2026-01-03	53	1	2.59
2026-01-03	105	2.446	1.75
2026-01-03	185	1	1.99
2026-01-03	12	1.858	2.25
2026-01-03	42	3.942	1.39
2026-01-03	76	14	0.79
2026-01-03	165	1.086	5
2026-01-03	111	3.714	1.75
2026-01-03	113	0.031	4.25
2026-01-03	144	0.495	5.39
2026-01-03	145	0.045	22.95
2026-01-03	33	5.849	1.59
2026-01-03	4	3	1.05
2026-01-03	11	0.501	3.95
2026-01-03	165	0.86	5
2026-01-03	24	1.723	1.19
2026-01-03	114	1.131	4.5
2026-01-03	190	2	3.15
2026-01-03	227	1	1.69
2026-01-03	94	3.249	2.85
2026-01-03	28	1	2.85
2026-01-03	195	1	2.25
2026-01-03	101	1.84	3
2026-01-03	107	0.759	1.99
2026-01-03	72	1	0.95
2026-01-03	81	3	1.25
2026-01-03	26	0.395	1.19
2026-01-03	84	3	1.59
2026-01-03	141	0.215	11.89
2026-01-03	166	1	2.45
2026-01-03	57	1	1.35
2026-01-03	166	1	2.45
2026-01-03	41	5.486	1.85
2026-01-03	118	0.233	4
2026-01-03	162	1	1.19
2026-01-03	114	1.302	4.5
2026-01-03	89	8.494	0.79
2026-01-03	93	3	3
2026-01-03	56	1	3.49
2026-01-03	114	0.469	4.5
2026-01-03	68	1	1.99
2026-01-03	124	2.265	1.55
2026-01-03	58	0.831	2.49
2026-01-03	93	4	3
2026-01-03	93	4	3
2026-01-03	195	3	2.25
2026-01-03	39	2.837	3.99
2026-01-03	136	0.169	12.95
2026-01-03	100	0.58	2.69
2026-01-03	127	4	2.49
2026-01-03	43	5.089	1.79
2026-01-03	114	3.422	4.5
2026-01-03	56	2	3.49
2026-01-03	213	1	2.85
2026-01-03	77	1	2.35
2026-01-03	71	1	1.99
2026-01-03	30	1	1.89
2026-01-03	185	1	1.99
2026-01-03	55	1	2.99
2026-01-03	69	1	1.25
2026-01-03	121	8.295	1.29
2026-01-03	52	2.818	0.99
2026-01-03	124	3.89	1.55
2026-01-03	187	0.708	5.45
2026-01-03	218	6	1.39
2026-01-03	218	1	1.39
2026-01-03	201	1.015	1.95
2026-01-03	122	0.084	2.99
2026-01-03	69	6	1.25
2026-01-03	138	2.061	4.59
2026-01-03	149	0.519	4.99
2026-01-03	43	0.877	1.79
2026-01-03	124	0.716	1.55
2026-01-03	198	9.697	1.19
2026-01-03	82	3	0.99
2026-01-03	114	3.271	4.5
2026-01-03	185	2	1.99
2026-01-03	158	1	2.29
2026-01-03	194	2.975	2.75
2026-01-03	101	1.617	3
2026-01-03	134	0.781	14.75
2026-01-03	106	3.769	1.99
2026-01-03	52	9.616	0.99
2026-01-03	137	0.081	18.75
2026-01-03	95	2.644	2.39
2026-01-03	27	1	2.59
2026-01-03	39	0.832	3.99
2026-01-03	248	0.012	10.95
2026-01-03	93	2	3
2026-01-03	89	12.494	0.79
2026-01-03	93	4	3
2026-01-03	121	1.775	1.29
2026-01-03	189	3	3.15
2026-01-03	99	0.829	2.99
2026-01-03	96	1.52	2.5
2026-01-03	18	0.585	1.35
2026-01-03	35	1	1.35
2026-01-03	71	1	1.99
2026-01-03	11	1.362	3.95
2026-01-03	84	3	1.59
2026-01-03	130	3	1.89
2026-01-03	145	0.192	22.95
2026-01-03	43	5.061	1.79
2026-01-03	109	0.703	2.59
2026-01-03	44	1.823	1.75
2026-01-03	135	0.563	12.95
2026-01-03	16	1.928	1.25
2026-01-03	196	1	3.15
2026-01-03	70	1	1.49
2026-01-03	107	3.045	1.99
2026-01-03	190	1	3.15
2026-01-03	11	0.889	3.95
2026-01-03	127	1	2.49
2026-01-03	101	0.92	3
2026-01-03	165	1.53	5
2026-01-03	40	1	1.99
2026-01-03	33	1.635	1.59
2026-01-03	46	0.457	3
2026-01-03	76	7	0.79
2026-01-03	190	1	3.15
2026-01-03	78	10	1.09
2026-01-03	89	8.658	0.79
2026-01-03	112	1.351	2.59
2026-01-03	121	6.93	1.29
2026-01-03	194	3.767	2.75
2026-01-03	121	10.023	1.29
2026-01-03	92	9.202	0.89
2026-01-03	52	5.131	0.99
2026-01-03	95	2.983	2.39
2026-01-03	137	0.261	18.75
2026-01-03	79	5	1.55
2026-01-03	194	3.924	2.75
2026-01-03	148	0.29	5.99
2026-01-03	124	2.29	1.55
2026-01-05	18	3.963	1.35
2026-01-05	18	4.148	1.35
2026-01-05	83	2.188	2.39
2026-01-05	140	0.297	12.95
2026-01-05	121	4.093	1.29
2026-01-05	44	5.263	1.75
2026-01-05	127	2	2.49
2026-01-05	124	6.923	1.55
2026-01-05	121	3.806	1.29
2026-01-05	93	2	3
2026-01-05	138	1.49	4.59
2026-01-05	118	0.138	4
2026-01-05	187	1.229	5.45
2026-01-05	141	0.128	11.89
2026-01-05	39	0.311	3.99
2026-01-05	113	0.019	4.25
2026-01-05	56	1	3.49
2026-01-05	146	0.769	14.39
2026-01-05	130	3	1.89
2026-01-05	227	1	1.69
2026-01-05	162	1	1.19
2026-01-05	11	2.038	3.95
2026-01-05	94	3.947	2.85
2026-01-05	66	2	1.59
2026-01-05	95	1.46	2.39
2026-01-05	52	1.798	0.99
2026-01-05	39	1.865	3.99
2026-01-05	108	0.17	2.35
2026-01-05	137	0.334	18.75
2026-01-05	144	0.293	5.39
2026-01-05	224	1	0.99
2026-01-05	23	1	1.25
2026-01-05	49	1	3
2026-01-05	109	0.417	2.59
2026-01-05	125	3	2.35
2026-01-05	91	13.275	0.69
2026-01-05	209	1	1.19
2026-01-05	16	1.144	1.25
2026-01-05	88	1.461	2.19
2026-01-05	89	8.899	0.79
2026-01-05	209	1	1.19
2026-01-05	124	2.69	1.55
2026-01-05	57	1	1.35
2026-01-05	41	4.611	1.85
2026-01-05	194	3.367	2.75
2026-01-05	165	1.07	5
2026-01-05	76	1	0.79
2026-01-05	165	0.99	5
2026-01-05	193	3	2.5
2026-01-05	93	2	3
2026-01-05	158	1	2.29
2026-01-05	75	3	1.59
2026-01-05	166	4	2.45
2026-01-05	185	2	1.99
2026-01-05	121	9.101	1.29
2026-01-05	114	2.576	4.5
2026-01-05	226	1	1.35
2026-01-05	52	2.636	0.99
2026-01-05	199	1.356	2.19
2026-01-05	23	2	1.25
2026-01-05	167	2	1.59
2026-01-05	47	0.243	3
2026-01-05	111	2.2	1.75
2026-01-05	52	12.354	0.99
2026-01-05	82	4	0.99
2026-01-05	207	1	1.29
2026-01-05	68	1	1.99
2026-01-05	193	1	2.5
2026-01-05	199	1.082	2.19
2026-01-05	42	5.237	1.39
2026-01-05	142	0.294	6.95
2026-01-05	145	0.141	22.95
2026-01-05	9	4	0.85
2026-01-05	77	1	2.35
2026-01-05	100	0.346	2.69
2026-01-05	38	5.058	1.89
2026-01-05	197	1.587	2.25
2026-01-05	189	3	3.15
2026-01-05	87	3	1.39
2026-01-05	93	4	3
2026-01-05	134	0.463	14.75
2026-01-05	77	1	2.35
2026-01-05	214	1	2.79
2026-01-05	73	2	1.49
2026-01-05	89	2.962	0.79
2026-01-05	30	3	1.89
2026-01-05	54	2	2.59
2026-01-05	136	0.209	12.95
2026-01-05	178	0.502	3.29
2026-01-05	127	1	2.49
2026-01-05	102	0.212	1.75
2026-01-05	93	1	3
2026-01-05	44	1.789	1.75
2026-01-05	93	1	3
2026-01-05	93	2	3
2026-01-05	139	0.22	14.95
2026-01-05	33	4.44	1.59
2026-01-05	81	4	1.25
2026-01-05	211	2	1.15
2026-01-05	91	4.377	0.69
2026-01-05	97	0.206	1.75
2026-01-05	95	2.385	2.39
2026-01-05	72	1	0.95
2026-01-05	28	1	2.85
2026-01-05	56	1	3.49
2026-01-05	44	1.811	1.75
2026-01-05	106	2.905	1.99
2026-01-05	122	0.05	2.99
2026-01-05	58	1.169	2.49
2026-01-05	12	2.596	2.25
2026-01-05	31	0.381	5.69
2026-01-05	250	0.234	2.39
2026-01-05	76	10	0.79
2026-01-05	101	1.82	3
2026-01-05	103	1.082	2.19
2026-01-05	85	1	1.49
2026-01-05	40	2	1.99
2026-01-05	96	0.9	2.5
2026-01-05	43	3.034	1.79
2026-01-05	4	2	1.05
2026-01-05	28	4	2.85
2026-01-05	201	0.6	1.95
2026-01-05	71	1	1.99
2026-01-05	71	1	1.99
2026-01-05	190	3	3.15
2026-01-05	140	0.078	12.95
2026-01-05	208	3	0.95
2026-01-05	187	1.02	5.45
2026-01-05	195	4	2.25
2026-01-05	135	0.334	12.95
2026-01-05	248	0.007	10.95
2026-01-05	127	1	2.49
2026-01-05	26	0.235	1.19
2026-01-05	61	1	1.89
2026-01-05	121	3.147	1.29
2026-01-05	105	1.451	1.75
2026-01-05	98	0.904	2.3
2026-01-05	89	11.203	0.79
2026-01-05	155	1	0.85
2026-01-05	213	2	2.85
2026-01-05	149	0.307	4.99
2026-01-05	43	2.034	1.79
2026-01-05	46	0.27	3
2026-01-05	59	0.078	4
2026-01-05	114	3.078	4.5
2026-01-05	99	1.08	2.99
2026-01-05	4	2	1.05
2026-01-05	117	0.448	2.5
2026-01-05	190	3	3.15
2026-01-05	153	1	1.99
2026-01-05	226	1	1.35
2026-01-05	219	1	0.99
2026-01-05	48	1	1.99
2026-01-05	56	1	3.49
2026-01-05	21	1	0.99
2026-01-05	218	4	1.39
2026-01-05	121	4.357	1.29
2026-01-05	78	6	1.09
2026-01-05	53	1	2.59
2026-01-05	195	1	2.25
2026-01-05	198	6.05	1.19
2026-01-05	43	3.285	1.79
2026-01-05	167	1	1.59
2026-01-05	93	1	3
2026-01-05	84	1	1.59
2026-01-05	65	2	1.45
2026-01-05	55	2	2.99
2026-01-05	27	1	2.59
2026-01-05	24	1.025	1.19
2026-01-05	70	2	1.49
2026-01-05	92	4.315	0.89
2026-01-05	55	1	2.99
2026-01-05	197	3.244	2.25
2026-01-05	148	0.172	5.99
2026-01-05	48	1	1.99
2026-01-05	106	1.925	1.99
2026-01-05	196	1	3.15
2026-01-05	101	2.52	3
2026-01-05	69	5	1.25
2026-01-05	8	1	2.25
2026-01-05	27	1	2.59
2026-01-05	84	4	1.59
2026-01-05	158	1	2.29
2026-01-05	196	2	3.15
2026-01-05	107	2.256	1.99
2026-01-05	79	4	1.55
2026-01-05	92	1.135	0.89
2026-01-05	35	1	1.35
2026-01-05	194	2.953	2.75
2026-01-05	112	1.691	2.59
2026-01-06	47	0.257	3
2026-01-06	165	1.294	5
2026-01-06	23	3	1.25
2026-01-06	214	1	2.79
2026-01-06	149	0.327	4.99
2026-01-06	78	6	1.09
2026-01-06	113	0.021	4.25
