producto_id	nombre	tipo_venta	subcategoria
74	Tomate Cherry en Rama	ud	HORTALIZAS EMBARQUETADAS (VERDURAS HOJA, RAIZ Y FRUTO FLOR)
75	Hortalizas Variadas	ud	HORTALIZAS EMBARQUETADAS (VERDURAS HOJA, RAIZ Y FRUTO FLOR)
76	Zanahoria Barqueta	ud	HORTALIZAS EMBARQUETADAS (VERDURAS HOJA, RAIZ Y FRUTO FLOR)
77	Ajo Blanco Malla 500g	ud	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
78	Ajo Blanco Malla	ud	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
79	Ajo Morado Malla	ud	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
80	Ajo Negro	ud	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
81	Cebolla Consumo Buti	ud	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
82	Cebolla	ud	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
83	Cebolla Dulce	kg	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
84	Cebolla Dulce Buti	ud	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
85	Cebolla Morada Buti	ud	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
86	Cebolleta Dulce	ud	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
87	Cebolleta	ud	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
88	Puerro	kg	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
89	Melón Piel de Sapo	kg	HORTALIZAS (FRESÓN, MELONES Y SANDIAS)
90	Melón Galia	kg	HORTALIZAS (FRESÓN, MELONES Y SANDIAS)
91	Sandía Rayada	kg	HORTALIZAS (FRESÓN, MELONES Y SANDIAS)
92	Sandía Negra	kg	HORTALIZAS (FRESÓN, MELONES Y SANDIAS)
93	Fresón	ud	HORTALIZAS (FRESÓN, MELONES Y SANDIAS)
94	Manzana Golden Importación	kg	FRUTA (MANZANAS)
95	Manzana Golden Calibre 75-80	kg	FRUTA (MANZANAS)
96	Manzana Envy	kg	FRUTA (MANZANAS)
97	Manzana Royal Gala	kg	FRUTA (MANZANAS)
98	Manzana Roja	kg	FRUTA (MANZANAS)
99	Manzana Pink Lady	kg	FRUTA (MANZANAS)
100	Manzana Granny Smith	kg	FRUTA (MANZANAS)
101	Pera Conferencia	kg	PERAS
102	Pera Blanquilla	kg	PERAS
103	Pera Ercolina	kg	PERAS
104	Pera Limonera	kg	PERAS
105	Melocotón Rojo	kg	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
106	Melocotón Amarillo	kg	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
107	Nectarina	kg	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
108	Ciruela Negra	kg	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
109	Ciruela Amarilla	kg	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
110	Níspero	ud	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
111	Paraguayo	kg	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
112	Albaricoque	kg	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
113	Higo	kg	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
114	Cereza	kg	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
115	Cereza Bandeja	ud	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
116	Granada	kg	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
117	Kaki	kg	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
118	Chirimoya	kg	FRUTAS (DE HUESO, PEPITA Y ARTÍCULOS ESTACIONALES)
119	Flor de Pascua	ud	PLANTAS ESTACIONALES
120	Flor de Pascua Roja	ud	PLANTAS ESTACIONALES
121	Plátano Canario	kg	FRUTA TROPICAL (PLATANO Y BANANA)
122	Plátano Macho	kg	FRUTA TROPICAL (PLATANO Y BANANA)
123	Plátano Baby	kg	FRUTA TROPICAL (PLATANO Y BANANA)
124	Banana	kg	FRUTA TROPICAL (PLATANO Y BANANA)
125	Uva Roja sin Semilla	ud	FRUTA DE SEMILLA (UVAS)
126	Uva Blanca Aledo	kg	FRUTA DE SEMILLA (UVAS)
127	Uva Blanca sin Semilla	ud	FRUTA DE SEMILLA (UVAS)
128	Frambuesa	ud	FRUTAS (ESPECIALIDADES)
129	Mora	ud	FRUTAS (ESPECIALIDADES)
130	Arándanos	ud	FRUTAS (ESPECIALIDADES)
131	Rambután	kg	FRUTAS (ESPECIALIDADES)
132	Maíz Palomitas Mantequilla	ud	FRUTOS (SECOS Y DESIDRATADOS)
133	Maíz Palomitas con Sal	ud	FRUTOS (SECOS Y DESIDRATADOS)
134	Almendra Frita	kg	FRUTOS (SECOS Y DESIDRATADOS)
135	Almendra Cruda	kg	FRUTOS (SECOS Y DESIDRATADOS)
136	Cóctel Mix de Frutos Secos	kg	FRUTOS (SECOS Y DESIDRATADOS)
137	Pistacho	kg	FRUTOS (SECOS Y DESIDRATADOS)
138	Cacahuete	kg	FRUTOS (SECOS Y DESIDRATADOS)
139	Anacardo	kg	FRUTOS (SECOS Y DESIDRATADOS)
140	Cóctel Revoltazo	kg	FRUTOS (SECOS Y DESIDRATADOS)
141	Mix de Frutos Secos	kg	FRUTOS (SECOS Y DESIDRATADOS)
142	Cóctel Premium	kg	FRUTOS (SECOS Y DESIDRATADOS)
143	Mix Anacardo y Arándano	ud	FRUTOS (SECOS Y DESIDRATADOS)
144	Gominolas	kg	FRUTOS (SECOS Y DESIDRATADOS)
145	Macadamia	kg	FRUTOS (SECOS Y DESIDRATADOS)
146	Nuez Pelada	kg	FRUTOS (SECOS Y DESIDRATADOS)
147	Nueces con Cáscara	kg	FRUTOS (SECOS Y DESIDRATADOS)
148	Nueces Pizarro	kg	FRUTOS (SECOS Y DESIDRATADOS)
149	Nueces California Yumbo Borges	kg	FRUTOS (SECOS Y DESIDRATADOS)
150	Castañas	kg	FRUTOS (SECOS Y DESIDRATADOS)
151	Castañas Unidad	ud	FRUTOS (SECOS Y DESIDRATADOS)
152	Pasa Moscatel	ud	FRUTOS (SECOS Y DESIDRATADOS)
153	Pasa Sultana	ud	FRUTOS (SECOS Y DESIDRATADOS)
154	Dátil Deshuesado	ud	FRUTOS (SECOS Y DESIDRATADOS)
155	Dátiles Confitados	ud	FRUTOS (SECOS Y DESIDRATADOS)
156	Dátiles Secos	kg	FRUTOS (SECOS Y DESIDRATADOS)
157	Dátil Medjoul	ud	FRUTOS (SECOS Y DESIDRATADOS)
158	Ciruela sin Hueso	ud	FRUTOS (SECOS Y DESIDRATADOS)
159	Orejón de Albaricoque	ud	FRUTOS (SECOS Y DESIDRATADOS)
160	Higo Extra	ud	FRUTOS (SECOS Y DESIDRATADOS)
161	Pan de Higo	ud	FRUTOS (SECOS Y DESIDRATADOS)
162	Lima	ud	FRUTAS (TROPICALES)
163	Guayaba	kg	FRUTAS (TROPICALES)
164	Carambola	kg	FRUTAS (TROPICALES)
165	Aguacate	kg	FRUTAS (TROPICALES)
166	Aguacate Paquete	ud	FRUTAS (TROPICALES)
167	Mango	ud	FRUTAS (TROPICALES)
168	Mangostán	kg	FRUTAS (TROPICALES)
169	Maracuyá	kg	FRUTAS (TROPICALES)
170	Coco	ud	FRUTAS (TROPICALES)
171	Physalis	ud	FRUTAS (TROPICALES)
172	Litchi	kg	FRUTAS (TROPICALES)
173	Tamarillo	kg	FRUTAS (TROPICALES)
174	Grosella	ud	FRUTAS (TROPICALES)
175	Jengibre	ud	FRUTAS (TROPICALES)
176	Tamarindo	kg	FRUTAS (TROPICALES)
177	Fruta de la Pasión	kg	FRUTAS (TROPICALES)
178	Papaya	kg	FRUTAS (TROPICALES)
179	Kumquat	kg	FRUTAS (TROPICALES)
180	Pitahaya Roja	kg	FRUTAS (TROPICALES)
181	Granadilla	kg	FRUTAS (TROPICALES)
182	Malanga	kg	FRUTAS (TROPICALES)
183	Yuca	kg	FRUTAS (TROPICALES)
184	Piña Baby	ud	FRUTAS (TROPICALES)
185	Piña Gold	ud	FRUTAS (TROPICALES)
186	Piña Cortada	ud	FRUTAS (TROPICALES)
187	Kiwi Hayward Zespri	kg	FRUTAS (TROPICALES)
188	Kiwi Hayward	kg	FRUTAS (TROPICALES)
189	Kiwi Verde Zespri	ud	FRUTAS (TROPICALES)
190	Kiwi Sungold Zespri	ud	FRUTAS (TROPICALES)
191	Kiwi Ibérico	kg	FRUTAS (TROPICALES)
192	Papaya Gigante	kg	FRUTAS (TROPICALES)
193	Naranja Navel	ud	FRUTAS (CÍTRICOS)
194	Mandarina Calibre 3	kg	FRUTAS (CÍTRICOS)
195	Mandarina	ud	FRUTAS (CÍTRICOS)
196	Naranja de Zumo	ud	FRUTAS (CÍTRICOS)
197	Naranja de Mesa	kg	FRUTAS (CÍTRICOS)
198	Limón Malla	kg	FRUTAS (CÍTRICOS)
199	Limón	kg	FRUTAS (CÍTRICOS)
200	Limones Malla	ud	FRUTAS (CÍTRICOS)
201	Pomelo Rojo	kg	FRUTAS (CÍTRICOS)
202	Aceitunas Manzanilla	ud	ENCURTIDOS (FRUTOS Y HORTALIZAS)
203	Aceitunas Machacadas	ud	ENCURTIDOS (FRUTOS Y HORTALIZAS)
204	Aceitunas Mojo Picón	ud	ENCURTIDOS (FRUTOS Y HORTALIZAS)
205	Pepinillos	ud	ENCURTIDOS (FRUTOS Y HORTALIZAS)
206	Aliño Aceite Ajo y Perejil	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
207	Ensalada Mezclum	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
208	Ensalada 4 Estaciones	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
209	Ensalada Gourmet	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
210	Ensalada Rúcula	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
211	Ensalada de Canónigos	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
212	Ensalada del Huerto	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
213	Ensalada César	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
214	Ensalada New York	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
215	Ensalada Bacon	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
216	Ensalada Queso de Cabra	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
217	Verdura Microondas	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
218	Espinaca Bolsa	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
219	Lechuga Iceberg Alteza	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
220	Pimiento Asado Entero	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
221	Pimiento Asado en Tiras	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
222	Pimiento Asado Tricolor	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
223	Pisto Tradicional	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
224	Remolacha Cocida	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
225	Mazorca de Maíz Cocido	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
226	Patata Cocida Microondas	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
227	Guacamole	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
228	Avocheese	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
229	Patata Cocida	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
230	Batata Calixta	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
231	Hierbabuena Barqueta	ud	HORTALIZAS (PLANTAS AROMÁTICAS)
232	Albahaca	ud	HORTALIZAS (PLANTAS AROMÁTICAS)
233	Cebollino	ud	HORTALIZAS (PLANTAS AROMÁTICAS)
234	Cilantro	ud	HORTALIZAS (PLANTAS AROMÁTICAS)
235	Zanahoria Bolsa	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
236	Pimiento Asado Entero Bandeja	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
237	Ajo Morado Malla 500g	ud	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
238	Ajo Pelado	kg	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
239	Ajo Blanco Granel	kg	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
240	Cebolla Granel	kg	HORTALIZAS BULBOS (CEBOLLAS Y AJOS)
241	Hierbabuena	ud	HORTALIZAS (PLANTAS AROMÁTICAS)
242	Alcaparrones	ud	ENCURTIDOS (FRUTOS Y HORTALIZAS)
243	Flor de Pascua Blanca	ud	PLANTAS ESTACIONALES
244	Fresón Granel	kg	HORTALIZAS (FRESÓN, MELONES Y SANDIAS)
245	Patata Saco Raschel	kg	HORTALIZAS (TUBERCULOS)
246	Champiñón Portobello	ud	HORTALIZAS (CHAMPIÑON / SETAS)
247	Patata Baby con Hierbas	ud	ENSALADAS 4ª Y 5ª GAMA LÍQUIDOS (HORTALIZAS / VERDURA HOJA)
248	Almendra Caramelizada	kg	FRUTOS (SECOS Y DESIDRATADOS)
249	Arándanos Deshidratados	ud	FRUTOS (SECOS Y DESIDRATADOS)
250	Manzana Giga	kg	FRUTA (MANZANAS)
251	Envase Pool IFCO 60x40	ud	MATERIAL LOGISTICO (no vendible)
252	Envase Pool IFCO 40x30	ud	MATERIAL LOGISTICO (no vendible)
253	Sin Identificar	ud	SIN CATEGORIZAR
254	Brócoli Troceado	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
